32,14
33,16
33,18
32,21
35,19
34,22
36,22
37,19
39,20
38,23
40,23
42,23
42,21
42,19
39,18
40,16
43,17
44,15
41,14
43,12
46,13
47,11
44,10
47,9
47,7
44,8
45,5
43,5
41,7
41,9
39,11
38,13
37,15
35,13
33,11
33,9
33,7
33,5
33,3
33,1
36,0
36,2
36,4
36,6
36,8
36,10
39,9
39,7
38,4
41,5
41,3
39,1
42,0
44,1
46,2
48,4
50,6
50,8
50,10
50,12
49,14
47,16
46,18
45,20
45,22
45,24
43,26
41,26
39,26
37,26
35,25
33,25
33,27
33,29
36,30
35,27
38,29
41,28
43,29
46,30
46,28
48,26
47,23
49,23
51,25
51,27
49,29
52,30
54,28
54,26
54,24
52,22
50,20
47,21
50,18
52,16
53,14
53,12
53,10
53,8
53,6
53,4
51,3
49,1
46,0
52,0
54,1
56,2
55,5
57,5
59,3
59,1
56,0
61,1
62,4
59,5
61,7
62,10
60,10
58,8
56,8
56,10
56,12
56,14
56,16
55,18
53,19
55,21
57,23
57,25
57,27
57,29
60,30
60,28
59,25
61,25
62,28
62,30
62,22
60,22
58,20
58,17
60,20
62,20
62,18
62,12
60,12
58,15
58,13
58,11
54,30
